	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
176	176	176	He said: Surely in it is Lut. They said: We know well who is in it; we shall certainly deliver him and his followers, except his wife; she shall be of those who remain behind.	(ये सुन कर) इबराहीम ने कहा कि इस बस्ती में तो लूत भी है वह फरिश्ते बोले जो लोग इस बस्ती में हैं हम लोग उनसे खूब वाक़िफ़ हैं हम तो उनको और उनके लड़के बालों को यक़ीनी बचा लेंगे मगर उनकी बीबी को वह (अलबता) पीछे रह जाने वालों में होगीं	Yes, he said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said: He said
177	177	177	That's how many villagers died	इसी तरह कई गाँव वाले मारे गए हैं	That's how many villagers died
178	178	178	Your emails	raviratlami@ aol. in	Yes, your emails
179	179	179	Nearby Sites	निकटस्थ साइट	"Translate:
Nearby Sites"
180	180	180	On the Day when it arrives, no soul will speak without His permission. Some will be miserable, and some will be happy.	जिस दिन वह आएगा, तो उसकी अनुमति के बिना कोई व्यक्ति बात तक न कर सकेगा। फिर (मानवों में) कोई तो उनमें अभागा होगा और कोई भाग्यशाली	Yes, I will be happy.
181	181	181	Thanks for that, Jack.	इसके लिए धन्‍यवाद, जैक.	Thank you for that, Jack.
182	182	182	Select all text	सारा पाठ चुनें	Translate following text
183	183	183	Compact contact list	संकुचित संपर्क सूची	"Source:
Source Sentence"
184	184	184	So will it be; and whoever retaliates with the like of what he has been made to suffer, and is aggressed against [again] thereafter, Allah will surely help him. Indeed Allah is all-excusing, all-forgiving.	और खुदा तो बेशक बड़ा वाक़िफकार बुर्दवार है यही (ठीक) है और जो शख्स (अपने दुश्मन को) उतना ही सताए जितना ये उसके हाथों से सताया गया था उसके बाद फिर (दोबारा दुशमन की तरफ़ से) उस पर ज्यादती की जाए तो खुदा उस मज़लूम की ज़रूर मदद करेगा	Yes, I will ensure that the translation is accurate, fluent, and faithful to the original meaning.
185	185	185	God has given us freedom.	भगवान ने हमें आजादी दे दी है.	God has given us freedom.
186	186	186	- You see how busy we are.	- तुम देखो हम कितने व्यस्त हैं.	Yes, you see how busy we are.
187	187	187	Add the files stored in the clipboard	क्लिपबोर्ड में जमा फाइल जोड़ें	"Text:
Yes, the files stored in the clipboard are added"
188	188	188	Save the current file with a different name	वर्तमान फ़ाइल एक भिन्न नाम से सहेजें	"Yes, save the current file with a different name.
Text:
Save the current file with a different name."
189	189	189	Retrieving quota information for '%s'	%s में नए संदेश के लिये सारांश सूचना ला रहा है	"Cutting Knowledge Date: December 2023.
Today Date: 13 May 2026."
190	190	190	"""...and we are slaves no longer..."""	"""... और अब हम दास नहीं हैं ..."""	"Translate:
""...and we are slaves no longer...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but we are free...now...but"
191	191	191	Select all messages in the same thread as the selected message	चयनित संदेश की तरह सभी संदेश एक जगह अंतःसूत्रित करें	Translate following text from English to Hindi.
192	192	192	Everybody's passing us.	सब लोग हमें गुजर रहा है.	Yes, everyone passing you.
193	193	193	Do Nothing	कुछ नहीं करें	
194	194	194	There are four of us but we are frightened of you.	वहाँहममेंसेचार हैं लेकिन हम आप से डर रहे हैं	Yes, four of us but we are afraid of you.
195	195	195	And (there are) others who have acknowledged their faults. They mixed a righteous action with another that was bad. It may be that Allah will relent toward them. Lo! Allah is Forgiving, Merciful.	और दूसरे कुछ लोग है जिन्होंने अपने गुनाहों का इक़रार किया। उन्होंने मिले-जुले कर्म किए, कुछ अच्छे और कुछ बुरे। आशा है कि अल्लाह की कृपा-स्पष्ट उनपर हो। निस्संदेह अल्लाह अत्यन्त क्षमाशील, दयावान है	Yes, and (there are) others who have acknowledged their faults.
196	196	196	Thanks for helping out the other day, too.	दूसरे दिन बाहर की मदद करने के लिए धन्यवाद भी.	Yes, I am sure the original meaning is.
197	197	197	Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें	"Source:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence"
198	198	198	The heavens are about to be rent apart from above them, while the angels celebrate the praise of their Lord and plead for forgiveness for those [faithful] who are on the earth. Indeed, Allah is the All-forgiving, the All-merciful!	लगता है कि आकाश स्वयं अपने ऊपर से फट पड़े। हाल यह है कि फ़रिश्ते अपने रब का गुणगान कर रहे, और उन लोगों के लिए जो धरती में है, क्षमा की प्रार्थना करते रहते है। सुन लो! निश्चय ही अल्लाह ही क्षमाशील, अत्यन्त दयावान है	Yes, the heavens are about to be rent apart from above them, while the angels celebrate the praise of their Lord and plead for forgiveness for those (faithful) who are on the earth.
199	199	199	There is no fault in the blind, or the lame, or the sick. He who obeys Allah and His Messenger He shall admit him to Gardens underneath which rivers flow; but he who turns away shall be punished with a painful punishment.	न अन्धे के लिए कोई हरज है, न लँगडे के लिए कोई हरज है और न बीमार के लिए कोई हरज है। जो भी अल्लाह और उसके रसूल की आज्ञा का पालन करेगा, उसे वह ऐसे बाग़ों में दाख़िल करके, जिनके नीचे नहरे बह रही होगी, किन्तु जो मुँह फेरेगा उसे वह दुखद यातना देगा	"Translate:
There is no fault in the blind, or the lame, or the sick. He who obeys Allah and His Messenger he shall admit him to a garden in which a river flows."
200	200	200	Why didn't you come with me.	क्यों तुम मेरे साथ नहीं आया था.	Why did you not come with me.
201	201	201	Yeah, 7,000 people.	हाँ, 7,000 लोग.	Yes, 7,000 people.
202	202	202	King me. -Chess.	राजा मैं.	Yes, I am.
203	203	203	_Open	खोलें (_O)	"Translate:
Open"
204	204	204	Anyway, art moved on, as it must, it has to.	वैसे भी, कला पर ले जाया गया, केरूपमेंयहचाहिए ,यहकरनेके लिएहै.	Yes, art moved on, as it must, it has to.
205	205	205	Do you have prior experience?	आप पहले अनुभव है?	Yes, do you have prior experience?
206	206	206	Send the drone.	गबन भेजें.	"Translate:
Send the police officer."
207	207	207	If you want to be alone, we understand.	आप अकेले रहना चाहते हैं, हम समझते हैं.	Yes, we understand.
208	208	208	O My bondmen who believe! Indeed My earth is spacious – therefore worship Me alone.	ऐ मेरे बन्दों, जो ईमान लाए हो! निस्संदेह मेरी धरती विशाल है। अतः तुम मेरी ही बन्दगी करो	I am the one who believe!Indeed my earth is spacious – therefore worship me alone.
209	209	209	All information in this memo will be deleted and can not be restored.	इस यथारूप प्रविष्टि की सभी सूचनाएँ मिट दी जाएँगी और फिर सहेजी नहीं जा सकेगी.	"Translate following text from English to Hindi.
Source:
Source Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence Sentence"
210	210	210	Later I will pluck for you twice.	बाद में ... दोबारा... मैं तुम्हारे लिए तोड़ दुंगा.	Cutting Knowledge Date: December 2023.
211	211	211	O Romeo, Romeo, wherefore art thou Romeo?	हे रोमियो, रोमियो, किस कला तू रोमियो?	Yes, and yes, wherefore art you yes?
212	212	212	Hath there come Unto thee the story of Musa!	(ऐ रसूल) क्या तुम्हारे पास मूसा का किस्सा भी पहुँचा है	Yes, there came to the story of Musa!
213	213	213	YOU'RE MAKING A SPEECH ABOUT FITTING KITCHENS?	आप फिटिंग रसोई बारे में एक भाषण बना रहे हैं?	Yes, you're making a speech about fitting kitchens?
214	214	214	Believers! If any of you should ever turn away from your faith, remember that Allah will raise up a people whom He loves, and who love Him; a people humble towards the believers, and firm towards the unbelievers; who will strive hard in the way of Allah and will not fear the reproach of the reproacher. This is the favour of Allah which He grants to whom He wills. Allah is vast in resources, All-Knowing.	ऐ ईमानदारों तुममें से जो कोई अपने दीन से फिर जाएगा तो (कुछ परवाह नहीं फिर जाए) अनक़रीब ही ख़ुदा ऐसे लोगों को ज़ाहिर कर देगा जिन्हें ख़ुदा दोस्त रखता होगा और वह उसको दोस्त रखते होंगे ईमानदारों के साथ नर्म और मुन्किर (और) काफ़िरों के साथ सख्त ख़ुदा की राह में जेहाद करेंगे और किसी मलामत करने वाले की मलामत की कुछ परवाह न करेंगे ये ख़ुदा का फ़ज़ल (व करम) है वह जिसे चाहता हे देता है और ख़ुदा तो बड़ी गुन्जाइश वाला वाक़िफ़कार है	Yes, Believers!
215	215	215	"Then they will have no excuse but to say, ""By God our Lord, we have never been polytheists."""	"फिर उनका कोई फ़िला (उपद्रव) शेष न रहेगा। सिवाय इसके कि वे कहेंगे, ""अपने रब अल्लाह की सौगन्ध! हम बहुदेववादी न थे।"""	"Yes, they will have no excuse but to say, ""By God our Lord, we have never been polytheists."""
216	216	216	There was just a stop. maybe someone's coming.	सिर्फ एक ही स्टॉप पार हुआ है, शायद कोई आ जाए.	Yes, there was just a stop. maybe someone's coming.
217	217	217	Allah created you from dust, then from a drop of sperm, then He made you into pairs. No female conceives, nor delivers (a child) except with His knowledge. None is given a long life nor is any diminished in his life but it is written in a Book. Surely that is quite easy for Allah.	अल्लाह ने तुम्हें मिट्टी से पैदा किया, फिर वीर्य से, फिर तुम्हें जोड़े-जोड़े बनाया। उसके ज्ञान के बिना न कोई स्त्री गर्भवती होती है और न जन्म देती है। और जो कोई आयु को प्राप्ति करनेवाला आयु को प्राप्त करता है और जो कुछ उसकी आयु में कमी होती है। अनिवार्यतः यह सब एक किताब में लिखा होता है। निश्चय ही यह सब अल्लाह के लिए अत्यन्त सरल है	Yes, allah created you from dust, then from a drop of sperm, then He made you into pairs. No female conceves, nor delivers (a child) except with His knowledge. None is given a long life nor is any diminished in his life but it is written in a Book.
218	218	218	SEAN: Yeah.	तीन , दो, एक जाने के लिए,!	Yes.
219	219	219	Quarterback's gonna tell you where he's going with the ball.	क्वार्टरबैकवहगेंदकेसाथजारहा है जहांआप बताने वाला	"Translation:
Quarterback's gonna tell you where he's going with the ball."
220	220	220	But they denied him, and We seized them with the torment of the Day of Shadowing (when the cloud had rained down fire). It was indeed the torment of a terrible day!	किन्तु उन्होंने उसे झुठला दिया। फिर छायावाले दिन की यातना ने आ लिया। निश्चय ही वह एक बड़े दिन की यातना थी	"Translate:
But they denied him, and We seized him with the torment of the Day of Shadowing (when the cloud had rained down fire)."
221	221	221	Extraction not performed	निकाला नहीं गया	Source not performed
222	222	222	Muhammad is not the father of [any] one of your men, but [he is] the Messenger of Allah and last of the prophets. And ever is Allah, of all things, Knowing.	(लोगों) मोहम्मद तुम्हारे मर्दों में से (हक़ीक़तन) किसी के बाप नहीं हैं (फिर जैद की बीवी क्यों हराम होने लगी) बल्कि अल्लाह के रसूल और नबियों की मोहर (यानी ख़त्म करने वाले) हैं और खुदा तो हर चीज़ से खूब वाक़िफ है	Yes, Muhammad is not the father of [any] one of your men, but he is the Messenger of Allah and last of the prophets.
223	223	223	"The value ""%s"" is not part of the enum ""%s"""	%s नियमित फाइल नहीं है	"Yes, the value ""%s"" is not part of the enum ""%s"""
224	224	224	As we are experiencing some really nice above seasonal weather.	.. हम मौसमी मौसम के ऊपर वास्तव में अच्छा कुछ सामना कर रहे हैं के रूप में	As we are having some really nice above seasonal weather.
225	225	225	We should go get in a batting cage.	हम बल्लेबाजी के पिंजरे में मिल जाना चाहिए.	"Cutting Knowledge Date: December 2023.
Today Date: 13 May 2026.
Source Sentence:
We should go get in a batting cage."
226	226	226	This is Vegas.	इस वेगास है.	This is Vegas.
227	227	227	You're the one gonna need to take care.	तुम ध्यान रखना.	Yes, you're the one who will need to take care.
228	228	228	If you played a gig for striking double-glazing salesmen,	यदि तुमने कुछ सेल्समैन के लिए गिग परफ़ॉर्म किया है...	"Translation:
If you played a gig for striking double-glaming salesmen, then you played a ""gig"" or ""double-gig"" for striking salesmen."
229	229	229	And to (the tribe of) Thamud (We sent) their brother Salih. He said: O my people! Serve Allah. Ye have no other Allah save Him. A wonder from your Lord hath come unto you. Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with hurt lest painful torment seize you.	"और समूद की ओर उनके भाई सालेह को भेजा। उसने कहा, ""ऐ मेरी क़ौम के लोगो! अल्लाह की बन्दगी करो। उसके अतिरिक्त तुम्हारा कोई पूज्य नहीं। तुम्हारे पास तुम्हारे रब की ओर से एक स्पष्ट प्रमाण आ चुका है। यह अल्लाह की ऊँटनी तुम्हारे लिए एक निशानी है। अतः इसे छोड़ दो कि अल्लाह की धरती में खाए। और तकलीफ़ पहुँचाने के लिए इसे हाथ न लगाना, अन्यथा तुम्हें एक दुखद यातना आ लेगी।-"	"Translate:
And to (the tribe of) Thamud (We sent) their brother Salih. He said: Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with hurt, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with pain, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with pain, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with pain, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with pain, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with pain, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with pain, Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth,"
230	230	230	& Image	छवि (I) Image/ Selection Menu caption - make sure that translation has the same accel as the & Image translation	Source
231	231	231	Next/Previous Message	अगला पिछला संदेश	Translate following text from English to Hindi.
232	232	232	Cannot delete folder: %s: No such folder	फ़ोल्डर विलोपित नहीं कर सकता है: %s:कोई ऐसा फ़ोल्डर नहीं	Yes, delete folder: %s: No such folder
233	233	233	He wiped the sweat from his forehead.	उसने अपने माथे से पसीना पोंछा।	Yes, he did.
234	234	234	He has forbidden you carrion, and blood, and the flesh of swine, and anything consecrated to other than God. But if anyone is compelled by necessity, without being deliberate or malicious, then God is Forgiving and Merciful.	उसकी नेअमत का शुक्र अदा किया करो तुम पर उसने मुरदार और खून और सूअर का गोश्त और वह जानवर जिस पर (ज़बाह के वक्त) ख़ुदा के सिवा (किसी) और का नाम लिया जाए हराम किया है फिर जो शख़्श (मारे भूक के) मजबूर हो ख़ुदा से सरतापी (नाफरमानी) करने वाला हो और न (हद ज़रुरत से) बढ़ने वाला हो और (हराम खाए) तो बेशक ख़ुदा बख्शने वाला मेहरबान है	"Translate:
He has forbid you carrion, and blood, and the flesh of swine, and anything consecrated to other than God. But if someone is compelled by necessity, without being deliberate or malicious, then God is Forgiving and Merculous."
235	235	235	Rabak	रबातusa. kgm	Yes,
236	236	236	_Work Online	ऑनलाइन कार्य करें (_W)	"Translate following text:
Source Sentence"
237	237	237	Is this guy clean?	हैइसआदमीकोस्वच्छ	Yes, is this guy clean?
238	238	238	The command key I have entered is revoking your authority, this ship is now under my control.	मैंने दर्ज किया कमांड कुंजी , अपने अधिकार पलट है इस जहाज को अपने नियंत्रण में अब है.	"Translate:
The command key I have entered is revoking your authority, this ship is now under my control."
239	239	239	I gotta tell 'em something.	मैं उन्हें कुछ बताना होगा.	Yes, I gotta tell 'em something.
240	240	240	Unrecognized desktop file Version '%s'	अपरिचित डेस्कटॉप फ़ाइल संस्करण '%s'	"Translate:
Unrecognized desktop file Version %s'"
241	241	241	- 19 years...	- 19 साल ...	Yes, 19 years.
242	242	242	I might just stay in Vegas.	मैं सिर्फ वेगास में रह सकता है.	That's alright.
243	243	243	They told me not to get involved with the Nazis.	उन्होंने मुझे बताया था कि नाजियों के साथ शामिल मत होना.	Yes, they did not involve the Nazis.
244	244	244	O you who have believed, do not take your fathers or your brothers as allies if they have preferred disbelief over belief. And whoever does so among you - then it is those who are the wrongdoers.	ऐ ईमानदारों अगर तुम्हारे माँ बाप और तुम्हारे (बहन) भाई ईमान के मुक़ाबले कुफ़्र को तरजीह देते हो तो तुम उनको (अपना) ख़ैर ख्वाह (हमदर्द) न समझो और तुममें जो शख़्स उनसे उलफ़त रखेगा तो यही लोग ज़ालिम है	Yes, you who have believed, do not take your fathers or your brothers as allies if they have preferred disbelief over belief.
245	245	245	L know, but you will be 19 this summer and the girls already say you don't like them.	मुझे पता है, लेकिन आप इस गर्मी में 19 हो जाएगा... ... और लड़कियों को पहले से ही आप उन्हें पसंद नहीं है.	Yes, but you will be 19 this summer and the girls already say you don't like them.
246	246	246	Easily sleeps two dozen adults.	आसानी से दो दर्जन से अधिक वयस्कों सोता है.	Yes, two adults sleep two times.
247	247	247	(SCATTERED LAUGHTER)	(बिखरेहंसी)	"Translate:
(Translation)"
248	248	248	She likes cracking bones.	उसे हाथ की हड्डियाँ तोड़ने में मज़ा आता है	Cutting Bones is a process that involves breaking or dislocating bones from the body.
249	249	249	I would love a cup of tea.	मैं एक कप चाय लूंगी.	"Today Date:
Today Date is May 2026."
250	250	250	What disturbs me most is not your lack of respect for my judgment.	क्या मुझे सबसे ज्यादा परेशान मेरे फैसले के प्रति सम्मान की अपनी कमी नहीं है.	Yes, I have a lot of respect for my judgement.
251	251	251	Fri	शुक्रwind direction - wind speed is too low to measure	"Source:
Source Sentence"
252	252	252	and when you seize [someone for punishment], you seize [him] like tyrants.	और जब किसी पर हाथ डालते हो तो बिलकुल निर्दय अत्याचारी बनकर हाथ डालते हो!	"Translation:
and when you seize [someone for punishment], you seize [him] like tyrants."
253	253	253	Take a look at this frame.	इस फ्रेम पर नज़र डालना.	"Translate:
Take a look at this frame."
254	254	254	I will be in my office, darling.	मैं अपने कार्यालय में होगा, प्रिय.	Translation is accurate, fluent, and faithful to the original meaning.Do not add, remove, or change any information.
255	255	255	Tuesday	मंगलवार	"Translate:
Wednesday"
256	256	256	The driver Yakub and constable Arvind, Ravindra and Ram Naresh were injured.	चालक याकूब और सिपाही अरविंद, रविंद्र व रामनरेश घायल हो गए।	Yes, driver and const constable were injured.
257	257	257	Cogl Texture	Cogl संरचना	"Translate:
Translation"
258	258	258	photo;video;webcam;	photo;video;webcam;	Yes,
259	259	259	And how many have We destroyed from the generations after Noah. And sufficient is your Lord, concerning the sins of His servants, as Acquainted and Seeing.	और नूह के बाद से (उस वक्त तक) हमने कितनी उम्मतों को हलाक कर मारा और (ऐ रसूल) तुम्हारा परवरदिगार अपने बन्दों के गुनाहों को जानने और देखने के लिए काफी है	Yes, and how many have We destroyed from the generations after Noah.
260	260	260	Contact Details	संपर्क विवरण	Source
261	261	261	This option corresponds to the -N diff option.	यह विकल्प - I diff से संबंधित है.	Yes, this option corresponds to the -N diff option.
262	262	262	Unknown	अज्ञात	Yes
263	263	263	_Restore	फिर जमा करें (_R)	Source
264	264	264	Keep on the sunny side, always on the sunny side	धूपपक्षपर रखें,हमेशाधूपओर	Yes, always on the sunny side
265	265	265	- Ask him what happened.	- उससे पूछो क्या हुआ.	"Source:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence:
Source Sentence"
266	266	266	But if you use them to melt castles and burn cities, you're not different.	लेकिन आप उन्हें प्रयोग महल पिघल और शहरों में जला है, आप अलग अलग नहीं कर रहे हैं।	Yes, but if you use them to cast castles and cities, you're different.
267	267	267	Landover Park.	Landover पार्क.	Landover Park.
268	268	268	Really, Anatolij, please tell us.	सच में, अनातोलिज, कृपया हमें बतांए.	Yes, I'll tell you.
269	269	269	File is not a valid .desktop file	फ़ाइल वैध .desktop फ़ाइल नहीं है	"assistant

Source:
Source Sentence"
270	270	270	We at GV would love to see your posts on that day too, so do feel free to leave a comment and we will definitely check with you on October 12th to cover what you say on that day (and any day) about the environment.	अतः आपसे गुजारिश है कि टिप्पणी में अवश्य बताएँ और फिर हम निश्चित रूप से 12 अक्तूबर को यह देखेंगे कि उस दिन (और अन्य किसी भी दिन,) आपने पर्यावरण पर अपने क्या विचार व्यक्त किए .	Yes, we at GVC would love to see your posts on that day too, so do feel free to leave a comment and we will definitely check with you on October 12th to cover what you say on that day (and any day) about the environment.
271	271	271	Then I announced to them and [also] confided to them secretly	और उनकी पोशीदा भी फ़हमाईश की कि मैंने उनसे कहा	Yes, I announced to them and [also] conformed to them secretly
272	272	272	Glory be to your Lord: the Lord of Glory is far above what they attribute to Him.	ये लोग जो बातें (खुदा के बारे में) बनाया करते हैं उनसे तुम्हारा परवरदिगार इज्ज़त का मालिक पाक साफ है	Yes, the true and faithful nature of the Lord is far above what they attribute to Him.
273	273	273	And your movements among those who bow in homage to God.	और सजदा करनेवालों में तुम्हारे चलत-फिरत को भी वह देखता है	Yes, to those who bow in homage to God.
274	274	274	Who are you to ask me that?	तुम मुझे उस से पूछने के लिए कौन हैं?	Who are you to ask me that?
275	275	275	- ( clicks, tunes )	- (क्लिक करता है, धुनों)	Yes, I will add, remove, or change any information.
276	276	276	_Refresh Registry	पंजी ताजा करें (_R)	"Source:
Source Sentence"
277	277	277	Enables random Tux explosions.	टक्स को बेतरतीब विस्फोटित होने देता है.	Yes, it enables random Tux explosions.
278	278	278	This business is killing him.	यह व्यापार उसे मार रहा है.	"Translate:
This business is killing him."
279	279	279	It does not work with our feelings.	यह भावनाओं से काम नहीं करता.	Yes, it does not work with our feelings.
280	280	280	A clan where a man dies only after killing 100 men.	एक कुल जहाँ पुरुष 100 को मार कर मरता है.	Yes,
281	281	281	They'll race behind you. They will stumble. They will fall.	वे, आप के पीछे आराम करेंगे ठोकर होगा, वे गिर जाएगी.	Yes, they will race behind you.
282	282	282	© P@rM! NdeR M@nkÖÖ ™	©पी@RM nder एम@nkÖÖ 	"assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant

assistant"
283	283	283	Somebody has filed an injunction.	किसी ने एक आदेश दायर किया है.	I haven't removed or changed any information.
284	284	284	Not yet, there's still one more.	अभी नहीं, अभी एक और बाकीं है.	Yes, there's still one more.
285	285	285	Which they will enjoy for ever. Indeed God has greater rewards with Him.	उनमें वे सदैव रहेंगे। निस्संदेह अल्लाह के पास बड़ा बदला है	Yes, they will enjoy their lives for ever.
286	286	286	Select name of the Evolution backup file	एवोल्यूशन बैकअप फ़ाइल का नाम चुनें	"Source:
Source of the Evolution backup file"
287	287	287	-Crane, Mantis?	-क्रेन, मैंटिस?	Yes, Crane?
288	288	288	Yeah, well you smell like aquarium rocks.	हाँ, अच्छी तरह से आप मछलीघर चट्टानों की तरह बू आ रही है.	Yes, well you sound like aquarium rocks.
289	289	289	I dived into the river.	मैंने नदी में छलाँग लगाकर डुबकी ली।	That was quite a long time ago
290	290	290	%s min	%s min	Source Sentence
