	prompt
866	"Translate following English dialogue to Hindi.
Source Sentence:
Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.
Target:
आजकल कई Sámi आधुनिक व्यापार में काम करते हैं, Sápmi, जो कि Sámi लोगों से बसा हुआ है, में पर्यटन एक बहुत ही अहम् आमदनी का हिस्सा है।"
867	"Translate following English dialogue to Hindi.
Source Sentence:
Though it is widely used, especially among non-Romani, the word ""Gypsy"" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.
Target:
वैसे तो इसका व्यापक रूप से इस्तेमाल किया जाता है, खास कर गैर-रोमनी लोगों में, लेकिन नकारात्मक स्टीरियोटाइप और रोमनी लोगों की ग़लत धारणाओं की वजह से “जिप्सी” शब्द को अक्सर आपत्तिजनक माना जाता है."
868	"Translate following English dialogue to Hindi.
Source Sentence:
If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.
Target:
आप जिस देश में जा रहे हैं यदि वह यात्रा परामर्श के अधीन है तो आपका यात्रा स्वास्थ्य बीमा या आपकेका यात्रा रद्द बीमा प्रभावित हो सकता है।"
869	"Translate following English dialogue to Hindi.
Source Sentence:
You may also wish to consult the advice of governments other than your own, but their advice is designed for their citizens.
Target:
अपनी सरकार के अलावा आप अन्य देशों की सरकारों की सलाह ले सकते हैं. हालाँकि, उनकी सलाह उनके नागरिकों को ध्यान में रखकर दी जाती हैं."
870	"Translate following English dialogue to Hindi.
Source Sentence:
As one example, American citizens in the Middle East might face different situations from Europeans or Arabs.
Target:
एक उदाहरण के रूप में, मध्य पूर्व में अमेरिकी नागरिकों को यूरोपीवासी या अरब के लोगों से अलग-अलग तरह की स्थितियों का सामना करना पड़ सकता है."
871	"Translate following English dialogue to Hindi.
Source Sentence:
Advisories are merely a brief summary of the political situation in one country.
Target:
एडवाइज़री किसी भी देश में राजनीतिक स्थिति का महज़ छोटा-सा विवरण है."
872	"Translate following English dialogue to Hindi.
Source Sentence:
The views presented are often cursory, general and oversimplified compared to the more detailed information available elsewhere.
Target:
दिखाए गए दृष्टिकोण हर कहीं उपलब्ध ज़्यादा विस्तृत जानकारी की तुलना में अक्सर सतही, सामान्य और अति-साधारण होते हैं."
873	"Translate following English dialogue to Hindi.
Source Sentence:
Severe weather is the generic term for any dangerous weather phenomenon with the potential to cause damage, serious social disruption, or loss of human life.
Target:
गंभीर मौसम किसी भी खतरनाक मौसमी घटना के लिए वर्गीय शब्द है जिसमें नुकसान, गंभीर सामाजिक व्यवधान, या मानव जीवन की हानि की संभावना है।"
874	"Translate following English dialogue to Hindi.
Source Sentence:
Severe weather can occur anywhere in the world, and there are different types of it, which can depend on geography, topography, and atmospheric conditions.
Target:
गंभीर मौसम दुनिया में कहीं भी हो सकता है, और इसके विभिन्न प्रकार होते हैं, जो भूगोल, स्थलाकृति और वायुमंडलीय स्थितियों पर निर्भर हो सकते हैं।"
875	"Translate following English dialogue to Hindi.
Source Sentence:
High winds, hail, excessive precipitation, and wildfires are forms and effects of severe weather, as are thunderstorms, tornadoes, waterspouts, and cyclones.
Target:
तूफान और बवंडर की तरह आंधी, ओले, भारी बारिश, और जंगल की आग तीव्र मौसम का हिस्सा और असर हैं."
876	"Translate following English dialogue to Hindi.
Source Sentence:
Regional and seasonal severe weather phenomena include blizzards, snowstorms, ice storms, and dust storms.
Target:
क्षेत्रीय और मौसमी गंभीर मौसम की घटनाओं में बर्फ़ का तूफान, बर्फ़बारी, बर्फ़ीला तूफ़ान और धूल भरा तूफान शामिल हैं।"
877	"Translate following English dialogue to Hindi.
Source Sentence:
Travellers are strongly advised to be aware of any risk of severe weather affecting their area as they may affect any travel plans.
Target:
यात्रियों को दृढ़ता से सलाह दी जाती है कि वे अपने क्षेत्र को प्रभावित करने वाले गंभीर मौसम के किसी भी जोखिम के बारे में जागरूक रहें क्योंकि वे किसी भी यात्रा योजना को प्रभावित कर सकते हैं."
878	"Translate following English dialogue to Hindi.
Source Sentence:
Anyone planning a visit to a country that could be considered a war zone should get professional training.
Target:
कोई भी यात्री युद्ध शेत्र घोषित देश की यात्रा की योजना बनाने वाले हो तो उन्हेो पेशेवर प्रशिक्षण प्राप्त करना चाहिए।"
879	"Translate following English dialogue to Hindi.
Source Sentence:
A search of the Internet for 'Hostile environment course' will probably provide the address of a local company.
Target:
इंटरनेट पर यह खोज 'शत्रुतापूर्ण पर्यावरण पाठ्यक्रम' के लिए अक्सर आपको एक स्थानीय कंपनी का पता प्रदान करेगी।"
880	"Translate following English dialogue to Hindi.
Source Sentence:
A course will normally cover all the issues discussed here in far greater detail, usually with practical experience.
Target:
एक कोर्स सामान्य रूप यहाँ पर चर्चा किये सभी मुद्दे को विस्तार मे कवर करेगा , आमतौर पर व्यावहारिक अनुभव के साथ |"
881	"Translate following English dialogue to Hindi.
Source Sentence:
A course will normally be from 2-5 days and will involve role play, a lot of first aid and sometimes weapons training.
Target:
एक कोर्स आम तौर पर 2 से 5 दिनों का होगा और उसमें भूमिका निभाना, बहुत सारा प्राथमिक उपचार और कभी-कभी हथियारों का प्रशिक्षण भी शामिल होगा."
882	"Translate following English dialogue to Hindi.
Source Sentence:
Books and magazines dealing with wilderness survival are common, but publications dealing with war zones are few.
Target:
जंगल में जीवित रहने वाली पुस्तकें और पत्रिकाएँ आम हैं, लेकिन युद्ध क्षेत्रों से निपटने वाले प्रकाशन बहुत कम हैं।"
883	"Translate following English dialogue to Hindi.
Source Sentence:
Voyagers planning sex reassignment surgery abroad must ensure they're carrying valid documents for the return trip.
Target:
विदेश में सेक्स रिअसाइनमेंट सर्जरी की योजना बनाने वाले यात्रियों को सुनिश्चित करना चाहिए कि वे वापसी यात्रा के लिए वैध दस्तावेज साथ लेकर जाएँं।"
884	"Translate following English dialogue to Hindi.
Source Sentence:
The willingness of governments to issue passports with gender not stated (X) or documents updated to match a desired name and gender varies.
Target:
लिंग के साथ पासपोर्ट जारी करने की सरकारों की इच्छा नहीं बताई गई या नाम और लिंग को मैच करने के लिए अपडेट किए गए डॉक्यूमेंट अलग-अलग हैं."
885	"Translate following English dialogue to Hindi.
Source Sentence:
Willingness of foreign governments to honour these documents is just as widely variable.
Target:
इन दस्तावेज़ों का सम्मान करने के लिए विदेशी सरकारों की इच्छा व्यापक रूप से परिवर्तशील जैसी ही है."
886	"Translate following English dialogue to Hindi.
Source Sentence:
Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.
Target:
11 सितंबर, 2001 के बाद से सुरक्षा चेकपॉइंट पर होने वाली खोजी कार्रवाइयां भी कहीं ज़्यादा दखल वाली हो गई हैं."
887	"Translate following English dialogue to Hindi.
Source Sentence:
Pre-operative transgender people should not expect to pass through the scanners with their privacy and dignity intact.
Target:
प्री-ऑपरेटिव ट्रांसजेंडर लोगों को यह उम्मीद नहीं करनी चाहिए कि वे अपनी निजता और सम्मान को बरकरार रखते हुए स्कैनर्स से गुज़र पाएँगे."
888	"Translate following English dialogue to Hindi.
Source Sentence:
Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.
Target:
चीर धाराएँ समुद्र तट पर लगकर लौटने वाली लहरों का प्रवाह होता है, अक्सर एक चट्टान या इसी तरह के पदार्थों पर।"
889	"Translate following English dialogue to Hindi.
Source Sentence:
Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.
Target:
अंडरवॉटर टोपोलॉजी के कारण कुछ गहरे सेक्शन्स में रिटर्न फ़्लो सांद्र होता है और यहां से गहरे पानी में तेज़ प्रवाह हो सकता है."
890	"Translate following English dialogue to Hindi.
Source Sentence:
Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.
Target:
ज़्यादातर मौतें पानी की धारा के विरुद्ध तैरने से होने वाली थकान की वजह से होती हैं, हो सकता है कि यह नामुमकिन भी हो."
891	"Translate following English dialogue to Hindi.
Source Sentence:
As soon as you get out of the current, swimming back is no more difficult than normally.
Target:
जैसे ही आप धारा से निकल आते हैं, पीछे की ओर तैरने में कोई खास मुश्किल नहीं होती है."
892	"Translate following English dialogue to Hindi.
Source Sentence:
Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.
Target:
किसी ऐसे स्थान की ओर बढ़ें जहाँ आप फिर से जाकर न फँसें या फिर अपने कौशल और आप पर किसी का ध्यान गया है या नहीं इसके आधार पर, हो सकता है कि आप बचाव के लिए इंतज़ार करना चाहें."
893	"Translate following English dialogue to Hindi.
Source Sentence:
Re-entry shock comes on sooner than culture shock (there's less of a honeymoon phase), lasts longer, and can be more severe.
Target:
पुनः प्रवेश झटका सांस्कृतिक झटके की तुलना में जल्द ही आता है (हनीमून का दौर कम होता है),  यह लंबे समय तक रहता है, और अधिक गंभीर हो सकता है।"
894	"Translate following English dialogue to Hindi.
Source Sentence:
Travellers who had an easy time adjusting to the new culture sometimes have a particularly hard time readjusting to their native culture.
Target:
जिन यात्रियों के पास नई संस्कृति को समायोजित करने के लिए एक अच्छा मौका था,उनके लिए कभी-कभी उनकी मूल संस्कृति के लिए विशेष रूप से कठिन समय होता है।"
895	"Translate following English dialogue to Hindi.
Source Sentence:
When returning home after living abroad, you've adapted to the new culture and lost some of your habits from your home culture.
Target:
विदेश में रहने के बाद वापस घर लौटते समय, आप नई संस्कृति को अपना चुके होते हैं और अपनी घरेलू संस्कृति की कई आदतें खो चुके होते हैं."
896	"Translate following English dialogue to Hindi.
Source Sentence:
When you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.
Target:
जब आप पहले के समय में विदेश गए थे, तो लोग तब ये जानकर धैर्य और समझ रखते थे कि यात्रियों को नए देश में उसके हिसाब से ढलना पड़ता है."
897	"Translate following English dialogue to Hindi.
Source Sentence:
People may not anticipate that patience and understanding are also necessary for travellers returning home.
Target:
लोग यह अनुमान नहीं लगा सकते हैं कि घर लौटने वाले यात्रियों के लिए धैर्य और समझ भी आवश्यक है."
898	"Translate following English dialogue to Hindi.
Source Sentence:
The pyramid sound and light show is one of the most interesting things in the area for kids.
Target:
बच्चों के लिए बनी जगह में पिरामिड साउंड एंड लाइट शो सबसे दिलचस्प चीज़ों में से एक है."
899	"Translate following English dialogue to Hindi.
Source Sentence:
You can see the pyramids in the dark and you can see them in silence before the show begins.
Target:
आप पिरामिड को शो शुरू होने से पहले अंधेरे में शांति से देख सकते हैं."
900	"Translate following English dialogue to Hindi.
Source Sentence:
Usually you always here the sound of tourists and vendors. The story of the sound and light is just like a story book.
Target:
आमतौर पर आप हमेशा पर्यटकों और बेचने वालों की आवाज़ सुनते हैं. ध्वनि और प्रकाश की कहानी स्टोरी बुक जैसी है."
901	"Translate following English dialogue to Hindi.
Source Sentence:
The Sphinx is set as the backdrop and the narrator of a long story.
Target:
स्फिंक्स को एक लंबी कहानी की पृष्ठभूमि और कथाकार के रूप में स्थापित किया गया है।"
902	"Translate following English dialogue to Hindi.
Source Sentence:
The scenes are displayed on the pyramids and the different pyramids are lit up.
Target:
पिरामिडों पर दृश्य प्रदर्शित किए जाते हैं और विभिन्न पिरामिड दिखाये जाते हैं"
903	"Translate following English dialogue to Hindi.
Source Sentence:
South Shetland Islands, discovered in 1819, are claimed by several nations and have the most bases, with sixteen active in 2020.
Target:
साउथ शेटलैंड, जिसकी खोज 1819 में हुई थी, पर कई देशों ने दावा किया है और वहाँ सबसे ज़्यादा बेस बनाए गए हैं, जिनमें से 2020 में सोलह बेस सक्रिय हैं."
904	"Translate following English dialogue to Hindi.
Source Sentence:
The archipelago lies 120 km north of the Peninsula. The largest is King George Island with the settlement of Villa Las Estrellas.
Target:
द्वीप-समूह, पेनिनसुला की उत्तर दिशा में 120 किमी दूर स्थित है. विलास लास एस्ट्रेलास जैसे रिहायशी इलाके के साथ, किंग ज़ॉर्ज सबसे बड़ा आइलैंड है."
905	"Translate following English dialogue to Hindi.
Source Sentence:
Others include Livingston Island, and Deception where the flooded caldera of a still-active volcano provides a spectacular natural harbour.
Target:
दूसरी जगहों में लिविंगस्टन और डिसेप्शन आइलैंड शामिल हैं, जहाँ अभी तक सक्रिय ज्वालामुखी के कुण्ड एक बेहतरीन प्राकृतिक बंदरगाह बनाते हैं."
906	"Translate following English dialogue to Hindi.
Source Sentence:
Ellsworth Land is the region south of the Peninsula, bounded by the Bellingshausen Sea.
Target:
पेनिनसुला के दक्षिणी क्षेत्र में एल्सवर्थ लैंड है जो बेल्लिंगशॉसेन समुद्र से घिरा हुआ है."
907	"Translate following English dialogue to Hindi.
Source Sentence:
The mountains of the Peninsula here merge into the plateau, then re-emerge to form the 360 km chain of the Ellsworth Mountains, bisected by the Minnesota Glacier.
Target:
प्रायद्वीप के पहाड़ यहाँ आकर पठार में मिल जाते हैं, फिर वापस उभरकर वे मिनेसोटा ग्लेशियर द्वारा दो हिस्सों में काटे गए एल्सवर्थ माउंटेंस की 360 किलोमीटर लंबी श्रृंखला बनाते हैं."
908	"Translate following English dialogue to Hindi.
Source Sentence:
The northern part or Sentinel Range has Antarctica's highest mountains, the Vinson Massif, peaking at 4892 m Mount Vinson.
Target:
उत्तरी हिस्सा या सेंटिनेल रेंज में अंटार्कटिका के सबसे ऊँचे पहाड़, विंसन मैसिफ़ और माउंट विंसन हैं जिसकी सबसे ऊँची चोटी 4892 मीटर की है."
909	"Translate following English dialogue to Hindi.
Source Sentence:
In remote locations, without cell phone coverage, a satellite phone may be your only option.
Target:
दूरस्थ स्थानों में, सेल फ़ोन कवरेज नहीं होने से, एक सेटेलाइट फ़ोन आपका एकमात्र विकल्प हो सकता है."
910	"Translate following English dialogue to Hindi.
Source Sentence:
A satellite phone is not generally a replacement for a mobile phone, as you have to be outdoors with clear line of sight to the satellite to make a phone call.
Target:
आम तौर पर सैटेलाइट फोन को मोबाइल फोन के स्थान पर उपयोग नहीं किया जा सकता है, क्योंकि सैटेलाइट फोन से कॉल करने के लिए आपको उपग्रह की रेखा पर घर के बाहर रहना पड़ेगा।"
911	"Translate following English dialogue to Hindi.
Source Sentence:
The service is frequently used by shipping, including pleasure craft, as well as expeditions who have remote data and voice needs.
Target:
यह सेवा आमतौर पर शिपिंग कम्पनी इस्तेमाल करती है, जिसमें विहार योग्य छोटे जहाज भी शामिल हैं, इसके साथ ही वे अभियान जिनमें रिमोट डेटा और वौइस् सेवाओं की ज़रुरत पड़ती है।"
912	"Translate following English dialogue to Hindi.
Source Sentence:
Your local telephone service provider should be able to give more information about connecting to this service.
Target:
इस बात का ध्यान रखें कि आपका स्थानीय टेलीफोन सेवा प्रदाता इस सेवा से जुड़ने के बारे में ज़्यादा जानकारी दे सकता हो."
913	"Translate following English dialogue to Hindi.
Source Sentence:
An increasingly more popular option for those planning a gap-year is to travel and learn.
Target:
एक अंतर-वर्ष की योजना बनाने वालों के लिए अधिक लोकप्रिय विकल्प यात्रा करना और सीखना है."
914	"Translate following English dialogue to Hindi.
Source Sentence:
This is especially popular with school leavers, allowing them to take a year out before university, without compromising their education.
Target:
यह विशेष रूप से स्कूल छोड़ने वालों के लिए लोकप्रिय है, जिससे उन्हें अपनी शिक्षा से समझौता किए बिना विश्वविद्यालय से एक साल पहले ही बाहर निकलने की अनुमति मिलती है।"
915	"Translate following English dialogue to Hindi.
Source Sentence:
In many cases, enrolling on a gap-year course abroad can actually improve your chances of moving into higher education back in your home country.
Target:
कई मामलों में, विदेश में किसी एक साल के गैप वाले कोर्स में दाखिला लेने से, असल में आपको अपने देश में उच्च शिक्षा वाले किसी कोर्स में दाखिला लेने की संभावना बढ़ जाती है."
916	"Translate following English dialogue to Hindi.
Source Sentence:
Typically there will be a tuition fee to enroll in these educational programs.
Target:
आमतौर पर इन शैक्षणिक कार्यक्रमों में दाखिला लेने के लिए शिक्षण शुल्क देना होगा."
917	"Translate following English dialogue to Hindi.
Source Sentence:
Finland is a great boating destination. The ""Land of a thousand lakes"" has thousands of islands too, in the lakes and in the coastal archipelagos.
Target:
फिनलैंड नौका के लिए एक शानदार जगह है। “एक हजार झीलों की भूमि” में हजारों द्वीप भी हैं, जो झीलों में और तटीय द्वीपसमूह में है ।"
918	"Translate following English dialogue to Hindi.
Source Sentence:
In the archipelagos and lakes you do not necessarily need a yacht.
Target:
द्वीप समूहों और झीलों में आपको अनिवार्य रूप से याट की ज़रूरत नहीं होती है."
919	"Translate following English dialogue to Hindi.
Source Sentence:
Although the coastal archipelagos and the biggest lakes are indeed big enough for any yacht, smaller boats or even a kayak offer a different experience.
Target:
वैसे तो तटीय द्वीपसमूह और सबसे बड़ी झीलें किसी भी याट के लिए काफ़ी बड़ी हैं, लेकिन छोटी नावें या कयाक से अलग ही तरह का अनुभव मिलता है."
920	"Translate following English dialogue to Hindi.
Source Sentence:
Boating is a national pastime in Finland, with a boat to every seven or eight people.
Target:
नौका विहार फिनलैंड में एक राष्ट्रीय शगल है, हर सात या आठ लोगों पर एक नाव है।"
921	"Translate following English dialogue to Hindi.
Source Sentence:
This is matched by Norway, Sweden and New Zealand, but otherwise quite unique (e.g. in the Netherlands the figure is one to forty).
Target:
यह नॉर्वे, स्वीडन और न्यूजीलैंड द्वारा मेल खाता है, लेकिन अन्यथा काफी अनोखा है (जैसे नैदरलैंड्स में यह आंकड़ा एक से चालीस है)।"
922	"Translate following English dialogue to Hindi.
Source Sentence:
Most of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.
Target:
ज़्यादातर विशिष्ट बाल्किट क्रूज़ ने रूस के सेंट पीटर्सबर्ग में विस्तारित ठहराव पेश किया है."
923	"Translate following English dialogue to Hindi.
Source Sentence:
This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.
Target:
इसका मतलब यह है कि आप कुछ दिनों के लिए ऐतिहासिक शहर की यात्रा कर सकते हैं और वापस लौटते समय रात में शिप पर सो सकते हैं."
924	"Translate following English dialogue to Hindi.
Source Sentence:
If you only go ashore using shipboard excursions you will not need a separate visa (as of 2009).
Target:
यदि आप केवल शिपबोर्ड भ्रमण का उपयोग करके किनारे तक जाते हैं तो आपको एक अलग वीज़ा की आवश्यकता नहीं होगी (2009 तक)."
925	"Translate following English dialogue to Hindi.
Source Sentence:
Some cruises feature Berlin, Germany in the brochures. As you can see from the map above Berlin is no where near the sea and a visit to the city is not included in the price of the cruise.
Target:
कुछ क्रूज़ के ब्रोशर में बर्लिन, जर्मनी शामिल हैं। जैसा कि आप ऊपर के मानचित्र में देख सकते हैं, बर्लिन समुद्र के पास नहीं है और क्रूज़ की कीमत में शहर की यात्रा शामिल नहीं है।"
926	"Translate following English dialogue to Hindi.
Source Sentence:
Travelling by plane can be a scary experience for people of all ages and backgrounds, particularly if they've not flown before or have experienced a traumatic event.
Target:
सभी उम्र और पृष्ठभूमि वाले लोगों के लिए विमान में यात्रा करना एक डरावना अनुभव हो सकता है. खास कर, अगर उन्होंने पहले कभी हवाई यात्रा न की हो या फिर हवाई यात्रा के दौरान किसी दर्दनाक घटना का सामना करना पड़ा हो."
927	"Translate following English dialogue to Hindi.
Source Sentence:
It is not something to be ashamed of: it is no different from the personal fears and dislikes of other things that very many people have.
Target:
इसके लेकर शर्माने की कोई बात नहीं है: यह निजी डर या दूसरी चीज़ें नापसंद होने से अलग नहीं है जो हर किसी में हो सकता है."
928	"Translate following English dialogue to Hindi.
Source Sentence:
For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control.
Target:
कुछ के लिए, विमान के काम करने के तरीके और उड़ान के दौरान क्या होता है, इस बारे में समझना एक ऐसे डर को दूर करने में मदद कर सकता है जो अज्ञात या नियंत्रण में न होने पर आधारित है."
929	"Translate following English dialogue to Hindi.
Source Sentence:
Courier companies are well paid for delivering things quickly. Frequently, time is very important with business documents, merchandise or spare parts for an urgent repair.
Target:
कूरियर कंपनियों को सामान को जल्दी से और अच्छे तरीके से पहुंचाने के लिए भुगतान किया जाता है। अक्सर, व्यापारिक दस्तावेजों, व्यापारिक वस्तुओं या मरम्त के लिए प्रयोग किये जाने वाले स्पेयर पार्ट्स को समय से पहुँचाने में बहुत महत्वपूर्ण भूमिका होती है।"
930	"Translate following English dialogue to Hindi.
Source Sentence:
On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.
Target:
चुनिंदा रूट पर, बड़ी कंपनियों के खुद के विमान हैं, लेकिन अन्य रूट पर और छोटी फ़र्म के लिए यह एक समस्या है."
931	"Translate following English dialogue to Hindi.
Source Sentence:
If they sent things by air freight, on some routes it may have taken days to get through unloading and customs.
Target:
यदि वे एयर फ़्रेट के ज़रिए चीज़ों को भेजते हैं, तो कुछ रूट्स पर अनलोडिंग करने और कस्टम के लिए कुछ दिन लग सकते हैं."
932	"Translate following English dialogue to Hindi.
Source Sentence:
The only way to get it through faster was to send it as checked luggage. Airline regulations will not allow them to send luggage without a passenger, which is where you come in.
Target:
इसे तेज़ी से प्राप्त करने का एकमात्र तरीका इसे चेक किए गए सामान के रूप में भेजना था। एयरलाइन के नियम उन्हें बिना यात्री के सामान भेजने की अनुमति नहीं देंगे, और यहीं पर आप काम आएँगे।"
933	"Translate following English dialogue to Hindi.
Source Sentence:
The obvious way of flying in first or business class is to fork out a thick wad of money for the privilege (or, better yet, get your company to do it for you).
Target:
फर्स्ट या बिज़नस क्लास में यात्रा करना सुविधा के लिए अधिक पैसे खर्च करना है (या, बेहतर यह है कि आप अपनी कंपनी से बुकिंग करवाएँ)."
934	"Translate following English dialogue to Hindi.
Source Sentence:
However, this does not come cheap: as rough rules of thumb, you can expect to pay up to four times the normal economy fare for business, and eleven times for first class!
Target:
हालाँकि, यह सस्ता नहीं है: एक नियम के रूप में, आप बिज़नस के लिए सामान्य इकॉनमी भाड़े का चार गुना तक और प्रथम श्रेणी के लिए ग्यारह गुना तक भुगतान करने की उम्मीद कर सकते हैं!"
935	"Translate following English dialogue to Hindi.
Source Sentence:
Generally speaking, there is no point in even looking for discounts for business or first-class seats on direct flights from A to B.
Target:
आमतौर पर ऐसा कहा जाता है कि सीधी उड़ानों में ए से बी तक बिज़नेस या फ़र्स्ट क्लास सीटों पर किसी भी सूरत में डिस्काउंट नहीं दिया जाता है."
936	"Translate following English dialogue to Hindi.
Source Sentence:
Airlines know well that there is a certain core group of flyers who are willing to pay top dollar for the privilege of getting somewhere fast and in comfort, and charge accordingly.
Target:
एयरलाइन कंपनियाँ अच्छी तरह जानती हैं कि कुछ यात्रियों का एक ऐसा समूह है जो कुछ हद तक तेज़ और सुविधाजनक यात्रा के लिए ज़्यादा किराया चुकाने के लिए तैयार रहते हैं, और कंपनियाँ उसी हिसाब से चार्ज करती हैं."
937	"Translate following English dialogue to Hindi.
Source Sentence:
The capital of Moldova is Chişinău. The local language is Romanian, but Russian is widely used.
Target:
मोल्दोवा की राजधानी चिसिनाउ है. स्थानीय भाषा रोमानियाई है, लेकिन रूसी भाषा का व्यापक रूप से उपयोग किया जाता है."
938	"Translate following English dialogue to Hindi.
Source Sentence:
Moldova is a multi-ethnic republic that has suffered from ethnic conflict.
Target:
माल्डोवा एक बहु जातीय गणराज्य है, जो जातीय संघर्ष से पीड़ित रहा है."
939	"Translate following English dialogue to Hindi.
Source Sentence:
In 1994, this conflict led to the creation of the self-proclaimed Transnistria Republic in eastern Moldova, which has its own government and currency but is not recognised by any UN member country.
Target:
1994 में, इस संघर्ष की वजह से पूर्वी माल्डोवा में ट्रांसनिस्ट्रिया गणराज्य के निर्माण घोषणा हुई, जिसकी अपनी सरकार और मुद्रा है लेकिन इसे संयुक्त राष्ट्र के किसी भी सदस्य देश ने मान्यता नहीं दी."
940	"Translate following English dialogue to Hindi.
Source Sentence:
Economic links have been re-established between these two parts of Moldova despite the failure in political negotiations.
Target:
राजनीतिक गतिरोध के बावजूद माल्डोवा के इन दो इलाकों में आर्थिक साझेदारी फिर से स्थापित हुई."
941	"Translate following English dialogue to Hindi.
Source Sentence:
The major religion in Moldova is Orthodox Christian.
Target:
मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है।"
942	"Translate following English dialogue to Hindi.
Source Sentence:
İzmir is the third largest city in Turkey with a population of around 3.7 million, the second biggest port after Istanbul, and a very good transport hub.
Target:
इज़मिर तुर्की का तीसरा सबसे बड़ा शहर है, जिसकी आबादी लगभग 3.7 मिलियन है, जो इस्तांबुल के बाद दूसरा सबसे बड़ा बंदरगाह है, और एक बहुत अच्छा परिवहन केंद्र है."
943	"Translate following English dialogue to Hindi.
Source Sentence:
Once the ancient city of Smyrna, it is now a modern, developed, and busy commercial center, set around a huge bay and surrounded by mountains.
Target:
एक बार का प्राचीन शहर स्मिर्ना, अब एक आधुनिक, विकसित और व्यस्त व्यवस्या का केन्द्र है, यह एक विशाल खाड़ी के साथ स्थित है और पहाड़ों से चारो ओर से घिरा हुआ है।"
944	"Translate following English dialogue to Hindi.
Source Sentence:
The broad boulevards, glass-fronted buildings and modern shopping centers are dotted with traditional red-tiled roofs, the 18th century market, and old mosques and churches, although the city has an atmosphere more of Mediterranean Europe than traditional Turkey.
Target:
बड़े-बड़े बुलेवार्ड, ग्लास-फ्रंटेड इमारतों और आधुनिक शॉपिंग सेंटर पारंपरिक लाल टाइल वाली छतों से आच्छादित हैं, 18वीं शताब्दी के बाजार, और पुरानी मस्जिदें और चर्च हैं, हालांकि शहर में पारंपरिक तुर्की की तुलना में भूमध्यसागरीय यूरोप का माहौल अधिक है।"
945	"Translate following English dialogue to Hindi.
Source Sentence:
The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.
Target:
हलडारश्वीक  गाँव से पास के एस्टूरॉय का द्वीप नज़र आता है और इसमें एक असाधारण अष्टकोणीय चर्च है।"
946	"Translate following English dialogue to Hindi.
Source Sentence:
In the churchyard, there are interesting marble sculptures of doves over some tombs.
Target:
चर्च के परिसर में, कुछ कब्रों पर कबूतरों की संगमरमर से बनाई गयी दिलचस्प मूर्तियां हैं।"
947	"Translate following English dialogue to Hindi.
Source Sentence:
It's worth half an hour to stroll about the intriguing village.
Target:
कुतूहल गाँव में आधे घंटे टहलना समय की हानि नहीं है।"
948	"Translate following English dialogue to Hindi.
Source Sentence:
To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.
Target:
उत्तर की ओर और पास ही में सिंट्रा का रोमांटिक और आकर्षक शहर है और जिसे लॉर्ड बायरन द्वारा दर्ज किए गए अपने शानदार कारनामो के बाद विदेशियों के लिए प्रसिद्ध किया गया था।"
949	"Translate following English dialogue to Hindi.
Source Sentence:
Scotturb Bus 403 travels regularly to Sintra, stopping at Cabo da Roca.
Target:
स्कॉटो बस 403, हर दिन काबो दा रोका पर रुकते हुए सिंतरा जाती है."
950	"Translate following English dialogue to Hindi.
Source Sentence:
Also to the north visit the great Sanctuary of Our Lady of Fatima (Shrine), a place of worldwide famous Marian apparitions.
Target:
उत्तर की ओर हमारी महान आवर लेडी ऑफ़ फातिमा (श्राइन) अभ्यारण्य की भी यात्रा करे , दुनिया भर में प्रसिद्ध एक जगह जहा मैरिएन दिखाई देते हैं।"
